User_ID,Age,Gender,Country,Employment_Status,Annual_Income,Current_Savings,Retirement_Age_Goal,Risk_Tolerance,Contribution_Amount,Contribution_Frequency,Employer_Contribution,Total_Annual_Contribution,Years_Contributed,Investment_Type,Fund_Name,Annual_Return_Rate,Volatility,Fees_Percentage,Projected_Pension_Amount,Expected_Annual_Payout,Inflation_Adjusted_Payout,Years_of_Payout,Survivor_Benefits,Transaction_ID,Transaction_Amount,Transaction_Date,Suspicious_Flag,Anomaly_Score,Marital_Status,Number_of_Dependents,Education_Level,Health_Status,Life_Expectancy_Estimate,Home_Ownership_Status,Debt_Level,Monthly_Expenses,Savings_Rate,Investment_Experience_Level,Financial_Goals,Insurance_Coverage,Portfolio_Diversity_Score,Tax_Benefits_Eligibility,Government_Pension_Eligibility,Private_Pension_Eligibility,Pension_Type,Withdrawal_Strategy,Transaction_Channel,IP_Address,Device_ID,Geo_Location,Time_of_Transaction,Transaction_Pattern_Score,Previous_Fraud_Flag,Account_Age
U1000,27,Male,Canada,Part-time,115730,267235,62,Low,892,Annually,979,11015,26,Stocks,Jackson-Ryan,5.97,2.05,1.65,666828,49694,66661,15,Yes,f3e3a449-5731-4bfa-8195-e3bb191ab167,1091,23-06-22,No,0.15,Married,4,Master's,Average,78,Mortgage,109933,7530,0.28,Expert,Legacy Planning,Yes,0.86,No,Yes,No,Defined Benefit,Dynamic,Online,221.151.158.51,549227c9-cc8c-4902-b7d1-651e3c196dc4,Hunterchester,13:46:52,0.03,No,19
U1001,49,Male,UK,Full-time,84700,360998,65,Low,1167,Annually,666,1653,16,ETF,"Mclaughlin, Lopez and Hunt",6.01,3.24,0.84,177640,49819,43543,29,No,ec3c8d62-8e99-4675-ba9e-c927c13517cf,704,21-03-22,No,0.54,Widowed,3,Bachelor's,Poor,81,Rent,74521,9661,0.22,Intermediate,Travel,No,0.98,Yes,Yes,No,Defined Contribution,Fixed,Branch,160.52.218.251,15db35d8-7ad5-4603-aa8c-dbba5e1613f2,Port Anneport,23:31:45,0.19,No,4
U1002,46,Other,Australia,Self-employed,112003,284127,60,Medium,670,Quarterly,840,16656,27,Bonds,Hernandez-Allen,6.79,3.59,0.88,656831,27587,58599,21,Yes,9d52d19c-4f44-4c1f-b853-123f6b4a02ae,4029,11-12-23,No,0.67,Widowed,4,Bachelor's,Poor,81,Rent,63554,7194,0.2,Expert,Home Purchase,No,0.91,No,Yes,No,Defined Contribution,Fixed,Online,152.158.21.84,604be73d-d146-41c2-ad11-5f8ed243f445,Jamiefort,08:54:55,0.36,No,16
U1003,35,Male,Australia,Unemployed,68000,394701,61,Low,1321,Quarterly,378,10599,27,Bonds,Price-Robles,8.92,4.02,1.15,399113,42071,54457,17,Yes,a4b785d8-813a-4785-ac1f-8a94822de99e,6194,22-09-24,No,0.78,Widowed,0,Master's,Good,86,Mortgage,8688,4286,0.23,Intermediate,Healthcare,No,0.14,Yes,Yes,Yes,Defined Contribution,Dynamic,Branch,92.51.24.61,029674f0-8eb8-4825-96d0-2792f01d590c,East Mary,13:45:22,0.27,No,18
U1004,28,Male,Canada,Full-time,115187,279345,65,Low,901,Quarterly,464,12257,1,ETF,"Kelly, Gonzales and Wagner",6.88,3.79,1.07,496269,68720,8435,25,No,cbc90bb9-b4a5-44b4-8699-47a27ea4e880,9377,02-04-22,No,0.94,Widowed,4,PhD,Good,78,Own,127526,5255,0.11,Expert,Home Purchase,Yes,0.54,Yes,Yes,No,Defined Contribution,Bucket,Branch,147.220.174.216,1fbf53ff-17b5-4828-9863-99151b14facc,Ronaldbury,17:06:02,0.9,No,27
U1005,25,Male,UK,Self-employed,57039,408556,68,Low,1215,Annually,502,7979,4,Bonds,"Oconnell, Welch and Lopez",3.8,4.98,1.33,583001,74432,18384,17,No,b0f6eef2-059f-41ba-8237-697bd8342403,2526,23-10-22,Yes,0.72,Married,2,PhD,Good,78,Mortgage,18984,4271,0.09,Beginner,Legacy Planning,Yes,0.36,Yes,Yes,No,Defined Contribution,Dynamic,Online,164.153.78.56,094d43ea-4804-4410-b6b3-73357f1c865b,Johnsonmouth,14:11:11,0.8,No,14
U1006,32,Female,USA,Self-employed,128269,414009,64,High,1773,Quarterly,983,14978,38,Real Estate,White Group,9.14,2.75,0.66,432413,31279,34760,27,Yes,62da4ce1-bee1-4c39-93a9-209c1156fb6d,347,24-02-25,No,0.75,Married,1,High School,Poor,75,Rent,172188,7201,0.23,Intermediate,Home Purchase,No,0.8,No,No,Yes,Defined Contribution,Bucket,Branch,63.44.19.177,93187059-bf47-4c22-9fac-fe711b886a9a,Gainesberg,03:31:23,0.26,No,19
U1007,45,Other,Australia,Retired,83138,498893,66,Medium,931,Quarterly,225,3170,10,ETF,"Johnson, Brown and Griffin",11.69,0.53,1.51,545113,21970,45277,14,No,ea9b2180-28e5-4bb0-8f5e-58c845451779,3531,17-04-25,No,0.73,Widowed,3,High School,Poor,91,Own,41114,6906,0.24,Expert,Home Purchase,No,0.26,Yes,Yes,No,Defined Benefit,Fixed,ATM,145.227.16.174,3c1a2cd4-84a0-443f-bcb0-f2370276744c,Jacksonside,07:06:17,0.48,No,20
U1008,28,Other,Germany,Part-time,62493,221882,60,High,1784,Monthly,562,16337,2,Bonds,Lane-Jennings,3.16,0.74,0.44,841428,58236,65448,27,No,5571e873-35a9-409c-9d78-00e78c6d0ab0,6669,08-12-24,No,0.6,Divorced,0,PhD,Average,88,Own,125855,6722,0.27,Expert,Home Purchase,Yes,0.58,Yes,No,No,Defined Contribution,Fixed,ATM,40.246.144.131,84ca2f2a-26ea-4199-91c5-96c41ac0f65a,Lake Joseph,00:40:15,0.82,No,1
U1009,60,Female,Canada,Part-time,45296,60567,61,High,1768,Monthly,287,18901,27,Real Estate,Jenkins Inc,7.09,1.37,0.4,905418,64687,17066,28,Yes,2ef7c422-a340-47a7-88cf-1ce20fc39415,2699,11-02-20,No,0.57,Divorced,1,Master's,Average,90,Mortgage,146129,2222,0.05,Intermediate,Healthcare,Yes,0.34,Yes,Yes,No,Defined Benefit,Bucket,Branch,173.102.42.210,451155fa-024d-43d0-b74d-aca0fb10e53c,West Edwardville,11:00:28,0.39,No,18
U1010,48,Male,UK,Self-employed,73171,396581,61,High,1508,Monthly,501,18002,3,Stocks,Nash-Guerrero,4.65,1.09,0.34,156503,74654,60434,19,Yes,cbee17d7-e99a-449b-9bd8-daa60dd7cad0,3937,15-12-24,No,0.44,Single,0,Master's,Poor,92,Own,88519,6388,0.14,Expert,Home Purchase,No,0.13,No,No,Yes,Defined Contribution,Bucket,Online,113.32.195.145,2bb3c09f-1796-4d9a-b508-dc8dc0bc6055,Jamieport,18:41:00,0.82,No,2
U1011,40,Male,Germany,Retired,66987,59226,69,High,304,Quarterly,563,16117,3,Stocks,"Smith, Mitchell and Burch",4.25,4.71,0.37,744234,60558,42622,28,No,63f2a328-e66f-49b8-a90f-fd35ddda6ffe,171,13-11-21,No,0.19,Married,2,PhD,Good,82,Mortgage,34344,1053,0.13,Beginner,Healthcare,No,0.63,No,Yes,Yes,Defined Contribution,Dynamic,Branch,152.8.136.255,06297612-1923-434e-a4c1-51ba4a73930c,Martinezfort,08:54:26,0.5,No,18
U1012,37,Male,Canada,Full-time,55180,304039,63,Medium,1680,Monthly,7,2057,19,Bonds,Zhang-Scott,6.49,2.92,0.32,546569,33724,57923,21,Yes,a5b5d295-6660-46fe-92db-f157e19b5208,4040,04-07-23,No,0.37,Widowed,1,Master's,Good,93,Own,55996,6920,0.15,Beginner,Travel,Yes,0.94,No,No,No,Defined Contribution,Fixed,ATM,56.29.42.178,1c710aa5-4444-4507-bd61-ced3316b3a5f,North Vickie,07:11:59,0.16,No,15
U1013,53,Female,Germany,Part-time,34220,19295,62,High,1987,Quarterly,846,9409,39,ETF,"Brown, Thompson and Davies",7.53,1.29,0.66,911671,49949,51889,17,Yes,3ee25e41-d232-4ab7-be50-d0eff051a431,2208,03-05-23,No,0.83,Married,1,Master's,Poor,86,Mortgage,94365,4113,0.08,Intermediate,Home Purchase,No,0.43,No,No,Yes,Defined Benefit,Dynamic,Online,93.119.255.209,64e1abdb-edec-4f32-b0c7-4803a698935e,East Meredith,19:38:17,0.19,No,12
U1014,35,Female,Canada,Self-employed,66329,306895,65,High,1577,Annually,479,16505,11,Mutual Fund,"Hensley, Hale and Morales",7.35,4.22,0.54,446698,59562,73210,21,Yes,d004ed61-303d-4f9e-839e-07e947ef99ad,1675,07-11-24,No,0.45,Widowed,0,Master's,Average,94,Own,112717,6657,0.1,Intermediate,Travel,Yes,0.3,Yes,No,Yes,Defined Benefit,Dynamic,ATM,98.215.240.183,3e68392a-3c1d-49a6-853e-c5b4b34cf13c,Jasonland,17:27:35,0.47,No,2
U1015,62,Female,Canada,Unemployed,44412,159202,64,Low,447,Quarterly,30,19151,29,Mutual Fund,"Mullins, Dixon and Richardson",3.46,0.98,1.44,808407,55845,15514,19,Yes,f6c2c22b-7410-4637-ba4e-3b6ec10f9d02,1819,18-06-21,No,0.83,Single,3,PhD,Good,80,Mortgage,169209,8132,0.07,Intermediate,Legacy Planning,No,0.21,Yes,No,No,Defined Benefit,Dynamic,Branch,206.33.234.186,a169a5bc-8e0d-44c4-a8f3-8f6264767a64,Tammyfurt,03:23:07,0.28,No,3
U1016,54,Other,UK,Self-employed,102241,216261,64,Medium,1292,Monthly,105,6059,26,Real Estate,"Cox, Compton and Rhodes",11,2.2,1.06,774358,68029,54771,29,No,c54e877c-e789-434c-90ff-b48640c6a26d,4632,08-05-25,No,0.15,Divorced,3,High School,Poor,83,Mortgage,176140,4856,0.1,Beginner,Healthcare,No,0.5,No,No,Yes,Defined Contribution,Bucket,ATM,205.37.33.237,eea609df-e49f-4ba0-9b45-b538e01fe12f,West William,10:32:10,0.24,No,20
U1017,51,Male,Germany,Unemployed,86367,485892,61,High,1356,Annually,271,9803,39,ETF,Hayes Group,5.64,1.2,0.93,297593,31804,71260,11,No,4f915fed-d5c6-4346-9bbc-283d1a11c95c,2899,21-11-23,No,0.99,Married,1,PhD,Average,87,Mortgage,174602,4748,0.18,Expert,Travel,Yes,0.45,Yes,No,Yes,Defined Contribution,Bucket,Branch,211.97.191.184,16dcfdf3-bd7c-4010-a2d5-16f5b298f0d5,East Loriland,20:22:06,0.93,No,9
U1018,59,Male,UK,Self-employed,129432,168915,68,High,1992,Annually,629,12481,32,Bonds,Simon Inc,9.54,0.98,1.7,727784,30146,24997,11,No,420468c0-835c-4905-b962-6f064c524eec,5176,09-06-24,No,0.56,Single,2,Bachelor's,Average,88,Rent,54189,7729,0.26,Intermediate,Travel,No,0.32,Yes,No,Yes,Defined Benefit,Bucket,Branch,151.56.100.143,09bada81-29f3-4ec6-8020-c15034e26ee0,Joshuamouth,23:57:56,0.39,No,6
U1019,40,Other,USA,Full-time,36372,480528,65,High,901,Annually,537,19196,18,Mutual Fund,Howell and Sons,7.41,2.8,1.65,590362,20232,48666,23,Yes,ae973e74-855e-445c-8a4a-62e65af71ad8,8159,27-06-23,No,0.16,Married,3,PhD,Good,83,Own,29504,8282,0.2,Intermediate,Healthcare,Yes,0.44,Yes,No,Yes,Defined Benefit,Dynamic,Branch,128.164.107.16,a54e7767-276c-4de6-89fe-7de990740f2d,West Melissa,21:56:45,0.71,No,22
U1020,33,Other,Australia,Part-time,121710,464656,68,High,1765,Annually,358,22074,22,Real Estate,Rodriguez Group,5.88,3.44,1.4,175359,29777,33526,14,Yes,c7c25778-2694-4c1d-b366-c15104bccffd,9821,14-07-21,No,1,Divorced,1,High School,Average,89,Rent,135125,1551,0.18,Intermediate,Legacy Planning,No,0.43,Yes,No,No,Defined Benefit,Dynamic,Branch,48.133.226.163,a6201e07-a1d4-4d5c-9d93-a5303adbe9b3,West Evan,21:35:05,0.76,No,23
U1021,39,Male,Germany,Part-time,65842,423493,64,High,1435,Annually,885,14476,19,Real Estate,Strickland-Sanders,4.96,3.41,0.52,129158,53651,39420,19,No,4c8e590f-a0c5-4b38-bb00-7e9ffdd880ac,5634,24-07-21,No,0.39,Married,1,Master's,Poor,85,Mortgage,120785,6923,0.17,Intermediate,Healthcare,Yes,0.79,Yes,Yes,Yes,Defined Contribution,Fixed,Online,38.119.141.249,f3eafa95-fcaf-4ff9-94dd-ccb5066ada17,Shawtown,05:58:06,0.63,No,21
U1022,40,Male,Germany,Self-employed,112473,231941,62,Low,1140,Monthly,962,6630,4,ETF,Clark PLC,3.95,1.25,0.21,546622,52918,13857,26,Yes,a7998b83-e2f6-4e31-8593-bd9d4ec1939e,1597,15-07-25,No,0.33,Single,4,PhD,Good,79,Mortgage,123501,5315,0.1,Expert,Travel,Yes,0.54,No,Yes,Yes,Defined Benefit,Bucket,Branch,160.184.131.66,8eaa10b0-3e4d-42e9-b428-faaff71fd905,South Rebecca,10:25:27,0.09,No,10
U1023,36,Other,UK,Full-time,125972,181547,67,High,541,Monthly,389,18028,35,ETF,"Williams, Young and Gonzales",3.89,4.65,1.27,493945,59288,39213,27,No,192bbf6c-6c89-41f9-ab06-50cdf31616c8,2293,30-09-23,No,0.56,Widowed,4,Master's,Poor,78,Rent,79435,5771,0.06,Intermediate,Travel,Yes,0.39,Yes,Yes,No,Defined Benefit,Bucket,Branch,131.4.163.146,4c3f6076-63f6-4d6e-8004-7bcfa13a1425,South Tanya,03:34:09,0.75,No,21
